entry_ts,entry_price,exit_ts,exit_price,direction,pnl,ppnl,target,stoploss,reason,symbol
2025-09-26 09:50:00+05:30,2597.0,2025-09-26 10:25:00+05:30,2593.7,short,3.300000000000182,0.0012706969580285644,0.01,0.005,timeout,ADANIENT
2025-10-01 14:00:00+05:30,2557.0,2025-10-01 14:35:00+05:30,2550.2,short,6.800000000000181,0.002659366445052867,0.01,0.005,timeout,ADANIENT
2025-10-01 14:05:00+05:30,2553.6,2025-10-01 14:40:00+05:30,2566.3679999999995,short,-12.767999999999574,-0.004999999999999834,0.01,0.005,stoploss,ADANIENT
2025-10-01 14:10:00+05:30,2541.2,2025-10-01 14:40:00+05:30,2553.9059999999995,short,-12.705999999999676,-0.004999999999999873,0.01,0.005,stoploss,ADANIENT
2025-10-01 14:45:00+05:30,2585.2,2025-10-01 15:05:00+05:30,2598.1259999999997,short,-12.925999999999929,-0.004999999999999973,0.01,0.005,stoploss,ADANIENT
2025-10-01 14:50:00+05:30,2580.8,2025-10-01 15:05:00+05:30,2593.7039999999997,short,-12.903999999999542,-0.004999999999999822,0.01,0.005,stoploss,ADANIENT
2025-10-01 14:55:00+05:30,2582.0,2025-10-01 15:05:00+05:30,2594.91,short,-12.909999999999854,-0.004999999999999944,0.01,0.005,stoploss,ADANIENT
2025-10-29 11:25:00+05:30,2596.3,2025-10-29 11:35:00+05:30,2570.337,short,25.963000000000193,0.010000000000000073,0.01,0.005,target,ADANIENT
2025-10-29 11:30:00+05:30,2586.4,2025-10-29 11:55:00+05:30,2560.536,short,25.864000000000033,0.010000000000000012,0.01,0.005,target,ADANIENT
2025-11-10 09:30:00+05:30,2371.0,2025-11-10 10:05:00+05:30,2367.3,short,3.699999999999818,0.0015605229860817453,0.01,0.005,timeout,ADANIENT
2025-11-12 09:50:00+05:30,2467.5,2025-11-12 09:55:00+05:30,2479.8374999999996,short,-12.337499999999636,-0.004999999999999853,0.01,0.005,stoploss,ADANIENT
2025-11-12 09:55:00+05:30,2479.0,2025-11-12 10:00:00+05:30,2491.3949999999995,short,-12.394999999999527,-0.004999999999999809,0.01,0.005,stoploss,ADANIENT
2025-11-12 10:00:00+05:30,2490.7,2025-11-12 10:05:00+05:30,2503.1534999999994,short,-12.453499999999622,-0.004999999999999848,0.01,0.005,stoploss,ADANIENT
2025-11-12 10:05:00+05:30,2503.2,2025-11-12 10:10:00+05:30,2515.7159999999994,short,-12.515999999999622,-0.004999999999999849,0.01,0.005,stoploss,ADANIENT
2025-11-12 10:10:00+05:30,2512.8,2025-11-12 10:40:00+05:30,2487.672,short,25.128000000000156,0.010000000000000061,0.01,0.005,target,ADANIENT
2025-11-12 10:15:00+05:30,2497.0,2025-11-12 10:35:00+05:30,2509.4849999999997,short,-12.484999999999673,-0.004999999999999869,0.01,0.005,stoploss,ADANIENT
2025-11-12 10:20:00+05:30,2499.6,2025-11-12 10:55:00+05:30,2483.8,short,15.799999999999727,0.006321011361817782,0.01,0.005,timeout,ADANIENT
2025-11-12 10:25:00+05:30,2502.5,2025-11-12 10:45:00+05:30,2477.475,short,25.02500000000009,0.010000000000000037,0.01,0.005,target,ADANIENT
2025-11-12 10:30:00+05:30,2503.3,2025-11-12 10:45:00+05:30,2478.2670000000003,short,25.0329999999999,0.00999999999999996,0.01,0.005,target,ADANIENT
2025-11-12 10:35:00+05:30,2502.6,2025-11-12 10:45:00+05:30,2477.574,short,25.02599999999984,0.009999999999999936,0.01,0.005,target,ADANIENT
2025-11-12 10:40:00+05:30,2487.8,2025-11-12 11:00:00+05:30,2500.239,short,-12.43899999999985,-0.004999999999999939,0.01,0.005,stoploss,ADANIENT
2025-11-12 11:05:00+05:30,2496.6,2025-11-12 11:40:00+05:30,2482.5,short,14.099999999999909,0.005647680845950457,0.01,0.005,timeout,ADANIENT
