symbol,entry_ts,entry_price,exit_ts,exit_price,direction,pnl,ppnl,reason,prob,meta_id,win
ADANIENT,2025-03-04 15:15:00,2144.25,2025-03-05 09:15:00,2150.68275,short,-6.432749999999942,-0.0029999999999999727,stoploss,0.6003111004829407,3195,False
ADANIENT,2025-03-05 14:35:00,2221.85,2025-03-05 14:50:00,2230.7374,long,8.88740000000007,0.004000000000000032,target,0.5373578071594238,3258,True
ADANIENT,2025-03-06 10:15:00,2246.8,2025-03-06 10:20:00,2240.0596,long,-6.740400000000136,-0.0030000000000000603,stoploss,0.5628191232681274,3277,False
ADANIENT,2025-03-06 10:20:00,2248.0,2025-03-06 10:20:00,2241.256,long,-6.744000000000142,-0.003000000000000063,stoploss,0.5882861614227295,3278,False
ADANIENT,2025-03-06 10:10:00,2241.3,2025-03-06 10:35:00,2242.1,long,0.7999999999997272,0.0003569357069556628,timeout,0.5424755811691284,3276,True
ADANIENT,2025-03-06 10:25:00,2238.4,2025-03-06 10:45:00,2247.3536,long,8.953599999999824,0.003999999999999921,target,0.5915989875793457,3279,True
ADANIENT,2025-03-06 11:30:00,2238.35,2025-03-06 11:45:00,2247.3034,long,8.953399999999874,0.003999999999999944,target,0.5345296859741211,3292,True
ADANIENT,2025-03-06 12:00:00,2248.85,2025-03-06 12:20:00,2257.8453999999997,long,8.99539999999979,0.003999999999999907,target,0.537913978099823,3298,True
ADANIENT,2025-03-06 12:10:00,2252.0,2025-03-06 12:30:00,2261.008,long,9.00799999999981,0.003999999999999916,target,0.5684745907783508,3300,True
ADANIENT,2025-03-06 14:35:00,2259.8,2025-03-06 14:55:00,2253.0206000000003,long,-6.779399999999896,-0.0029999999999999537,stoploss,0.5601670742034912,3329,False
ADANIENT,2025-03-07 09:55:00,2248.7,2025-03-07 10:05:00,2257.6947999999998,long,8.994799999999941,0.003999999999999974,target,0.5334712266921997,3344,True
ADANIENT,2025-03-07 12:55:00,2234.7,2025-03-07 13:10:00,2227.9959,long,-6.704099999999926,-0.002999999999999967,stoploss,0.5415024161338806,3380,False
ADANIENT,2025-03-10 09:55:00,2277.5,2025-03-10 10:00:00,2270.6675,long,-6.832499999999982,-0.002999999999999992,stoploss,0.5483576655387878,3415,False
ADANIENT,2025-03-10 10:00:00,2272.5,2025-03-10 10:00:00,2265.6825,long,-6.817500000000109,-0.003000000000000048,stoploss,0.5477715134620667,3416,False
ADANIENT,2025-03-10 10:50:00,2278.55,2025-03-10 10:55:00,2287.6642,long,9.114199999999983,0.003999999999999992,target,0.5426228046417236,3426,True
ADANIENT,2025-03-10 14:25:00,2234.15,2025-03-10 14:25:00,2227.44755,long,-6.702450000000226,-0.003000000000000101,stoploss,0.5418052077293396,3469,False
ADANIENT,2025-03-10 14:30:00,2226.1,2025-03-10 14:55:00,2226.35,long,0.25,0.00011230402946857733,timeout,0.5312240123748779,3470,True
ADANIENT,2025-03-11 09:30:00,2240.55,2025-03-11 09:30:00,2249.5122,long,8.962199999999939,0.003999999999999972,target,0.5876249074935913,3481,True
ADANIENT,2025-03-11 09:35:00,2250.45,2025-03-11 09:45:00,2259.4518,long,9.001800000000003,0.004000000000000002,target,0.5958680510520935,3482,True
ADANIENT,2025-03-11 09:40:00,2250.5,2025-03-11 09:45:00,2259.502,long,9.001999999999953,0.003999999999999979,target,0.5568673014640808,3483,True
ADANIENT,2025-03-11 09:45:00,2256.0,2025-03-11 09:45:00,2265.024,long,9.023999999999887,0.00399999999999995,target,0.5850122570991516,3484,True
ADANIENT,2025-03-11 10:15:00,2254.35,2025-03-11 10:30:00,2247.58695,long,-6.763050000000021,-0.0030000000000000096,stoploss,0.568510890007019,3490,False
ADANIENT,2025-03-11 10:55:00,2260.7,2025-03-11 11:20:00,2259.8,long,-0.8999999999996362,-0.0003981067810853436,timeout,0.5824229717254639,3498,False
ADANIENT,2025-03-11 15:05:00,2258.1,2025-03-11 15:10:00,2251.3257,long,-6.774300000000039,-0.0030000000000000174,stoploss,0.535063624382019,3548,False
ADANIENT,2025-03-11 15:15:00,2250.45,2025-03-12 09:15:00,2259.4518,long,9.001800000000003,0.004000000000000002,target,0.5354259014129639,3550,True
ADANIENT,2025-03-12 14:20:00,2226.0,2025-03-12 14:25:00,2234.904,long,8.903999999999996,0.003999999999999998,target,0.5313233137130737,3610,True
ADANIENT,2025-03-12 14:45:00,2234.0,2025-03-12 14:45:00,2242.936,long,8.93600000000015,0.004000000000000067,target,0.5448087453842163,3615,True
ADANIENT,2025-03-13 11:00:00,2247.2,2025-03-13 11:25:00,2240.4584,long,-6.741599999999835,-0.0029999999999999268,stoploss,0.5409975051879883,3641,False
ADANIENT,2025-03-13 14:40:00,2228.5,2025-03-13 14:55:00,2221.8145,long,-6.685500000000047,-0.0030000000000000213,stoploss,0.5616443157196045,3685,False
